yr,sero,strainID,coord1,coord2,is_missAG
2011,2,00556/11,-1.2894479167396844,-2.4129096752523296,0
2011,2,01220/11,-2.591366078256157,-1.808281849109606,0
2012,2,00144/12,-2.013853561372334,-0.7068123268175222,0
2012,2,00258/12,-2.5554900284632245,-1.7941415073064688,0
2012,2,01090/12,-3.539905228259331,-1.3262940544679829,0
2012,2,01113/12,-4.088987946086804,-1.459994826149811,0
2013,2,00058/13,-3.273229919170225,-1.8863384103981524,0
2013,2,00280/13,-2.5380204149712795,-1.8188408987653095,0
2013,2,00662/13,-2.037876914784065,-2.493938355383736,0
2013,2,00696/13,-3.0308061776220097,-1.8511713438475543,0
2014,2,00016/14,-2.4661202697676328,-1.9872073072799932,0
2014,2,00740/14,-3.0153075683421195,-1.6012566646420516,0
1994,3,00128/94,0.4542137615890998,4.486447606420065,0
1994,3,00255/94,-0.01246822669502818,2.8588856131376117,0
1994,3,00831/94,0.3833631721141444,2.135425303894375,0
1994,3,01311/94,0.02485665520285695,2.735834769379986,0
1995,3,00247/95,-0.616950895259256,3.480371883418385,0
1995,3,00631/95,0.09698844118923793,2.0089338077896826,0
1995,3,00780/95,-0.9288323529683432,4.039989889701427,0
1995,3,01296/95,0.01163584088451467,2.899048194243199,0
1995,3,01658/95,1.7696539437787049,3.2652537369098824,0
1996,3,00833/96,0.8555723876880804,1.9633789218096172,0
1996,3,01528/96,0.6263280409486364,2.893162380790343,0
1996,3,01720/96,0.5572716990141463,2.2557473570378583,0
1996,3,01941/96,0.511006887376139,2.6058260639084923,0
1997,3,03080/97,1.0803644274404085,2.0478182835652645,0
1998,3,00317/98,-0.46842977086068,2.555207802423217,0
1998,3,00596/98,0.08568991786963298,3.4606799564827084,0
1998,3,02434/98,0.24877683653636948,2.37552092543841,0
1998,3,02551/98,0.1684753089983368,2.9772446590634334,0
1998,3,04187/98,-0.0743346646515417,2.3515470006843966,0
1998,3,04331/98,-0.3899160514346979,3.116505370514208,0
1998,3,04946/98,-0.1314536850261421,2.7629112469095514,0
1998,3,06070/98,0.22669671715729625,3.447767043845899,0
1999,3,00165/99,0.7760105303675611,1.8425951093259343,1
1999,3,00342/99,-0.3645145327621461,2.7757713179588994,1
1999,3,30050/99,0.664570631988389,2.2116696045018376,1
1999,3,01187/99,-0.031433404636917184,3.054193872767915,1
1999,3,01982/99,-0.13609597491040898,2.639561299310058,1
1999,3,30105/99,0.28735531012895105,2.1063318547583174,1
1999,3,02902/99,-0.0705696074491642,2.746013147976309,1
1999,3,30331/99,0.16723337720300124,2.9181004409605595,1
1999,3,03567/99,-0.08081336755477672,3.1608390734496457,1
1999,3,03767/99,-0.012192613553819932,3.664523979332293,1
1999,3,03818/99,0.20581185079558278,2.6489113702804667,1
1999,3,072.1,-0.05581652052123355,2.6283742736514037,1
1999,3,04557/99,0.2504977540149252,2.8983876301243017,1
1999,3,109.1,-0.1373599798546018,3.170953789173553,1
1999,3,05364/99,0.6233269669641716,2.203343245382288,1
1999,3,05951/99,0.35997727493078596,2.464522952714831,1
1999,3,06060/99,-0.15689567251059752,2.9008497776706252,1
2000,3,02029/00,-0.3686191879454557,2.6703150140534015,0
2000,3,02080/00,0.381288868371464,3.664144978513497,0
2000,3,02242/00,-0.11007514497727285,3.8683680021818776,0
2000,3,05443/00,0.869614695975306,3.126460246195202,0
2000,3,05499/00,-0.03293680468165611,3.235693796709112,0
2000,3,05815/00,-0.5429156034810174,2.657533168385794,0
2000,3,06135/00,0.3259337837215326,1.8371427840782248,0
2001,3,00152/01,-0.3604098775788366,2.8812276218643973,0
2001,3,00929/01,0.1372091473938316,3.632937414706297,0
2001,3,00984/01,0.2975430683050022,3.2271601236714327,0
2001,3,03291/01,0.1662895064879347,2.3588682071993112,0
2001,3,04045/01,0.04030783623389974,2.933232325383591,0
2001,3,04945/01,-0.10934408218370432,2.8656001998502463,0
2001,3,05611/01,0.47165663329471375,1.6373719350866038,0
2001,3,06503/01,-0.5209687863571875,2.9036016731817065,0
2002,3,00059/02,-0.7905250612042254,2.713062234786822,0
2002,3,00104/02,-0.248630035017921,3.569395168298166,0
2002,3,00145/02,-0.3186401506752963,3.385356144528735,0
2002,3,00501/02,0.41175927581759586,1.8261070382785292,0
2002,3,00536/02,0.967003601739049,1.6404477472826886,0
2002,3,00767/02,0.3463252944489334,4.095105233068496,0
2002,3,02173/02,0.16779553870340982,3.1721907713889506,0
2002,3,03135/02,0.3672812205496728,2.4922369397149597,0
2003,3,01619/03,0.10220181942718871,2.387165588076487,0
