yr,sero,strainID,coord1,coord2,coord3,is_missAG
2010,2,01549/10,2.0510579618296547,3.672179937289697,-1.7010369463080115,0
2011,2,00220/11,1.0875800545936662,3.4156493506611207,-0.7010770763431653,0
2011,2,00322/11,1.1383955387958864,3.877947471833157,-1.5557715669115395,0
2011,2,00556/11,-0.06988223355084991,2.9168356304352088,-0.6525303192160825,0
2011,2,01220/11,1.420124397220201,3.23836488668549,-1.032429194432186,0
2012,2,00144/12,1.5823692604060704,2.09510029051885,-0.4538067018989293,0
2012,2,00258/12,0.9975288551673936,3.672233003057584,-0.4461026496047573,0
2012,2,01090/12,0.3469921703156499,5.3044338885743985,0.6470942622909622,0
2012,2,01113/12,3.293242212797956,3.1916158627968865,-2.2228484319362014,0
2013,2,00058/13,1.7619562216730489,4.142329972576675,-0.9621324313584736,0
2013,2,00280/13,0.5314544729244687,3.913651123548838,-0.06113817629523808,0
2013,2,00662/13,0.12421531053209772,3.7089922648931126,-0.6630073321959112,0
2013,2,00696/13,0.36471287656557866,4.62817670009455,0.0633932764808372,0
2013,2,00016/14,0.4063847736712563,3.885866705684275,-0.2535501247259843,0
2014,2,00740/14,0.8332109195573513,4.302766190636743,-0.00190187764711119,0
1994,3,00128/94,2.0392774385832486,-2.4458299634927223,2.7193102239441083,0
1994,3,00255/94,1.9880218886132468,-0.6385123982672491,1.5995627413539877,0
1994,3,00831/94,1.2139811978987134,-0.4343573693315667,1.3625584734872866,0
1994,3,01311/94,1.4160175930470067,-0.7592667097006979,1.8877060572334805,0
1995,3,00247/95,2.727774178152689,-1.1729198413310782,1.85332759074472,0
1995,3,00631/95,1.415061818441872,-0.38161693847056616,1.095952423020541,0
1995,3,00780/95,3.3131072195777724,-1.137206252497187,2.2999933480178307,0
1995,3,01296/95,0.8349287708145492,-1.5576490885871148,2.0110474483873015,0
1995,3,01658/95,-0.02268817763991553,0.7445913160779591,3.521683181402425,0
1996,3,00833/96,0.6713464451804887,-0.15433874156366173,1.6648414189155232,0
1996,3,01528/96,1.0223630547738782,-0.9153803537111732,2.123101923963614,0
1996,3,01720/96,1.0910449079153597,-0.5895263221153246,1.526207444321619,0
1996,3,01941/96,1.3392836668747763,-0.402862028767628,1.895279034649602,0
1997,3,03080/97,0.7874443507329114,-0.16638986994761762,1.7628364944092156,0
1998,3,00317/98,1.1021835053672897,-1.7852075248381472,1.2480410056673712,0
1998,3,00596/98,1.2615264583409058,-1.750972794292193,2.4346953591038676,0
1998,3,02434/98,-0.11309538797375993,-0.7611821059210686,2.11510173084805,0
1998,3,02551/98,1.7501661811231048,-0.8115284486783614,1.8889691774461437,0
1998,3,04187/98,1.0692872804573816,-0.9376301888047432,1.4730168954013716,0
1998,3,04331/98,2.3895316826946673,-0.33280278324076534,1.8946212219674476,0
1998,3,04946/98,1.465199952976168,-1.2640677107976548,1.5628434330644905,0
1998,3,06070/98,1.4555024512368446,-1.625446873188129,2.308439480028488,0
1999,3,00165/99,0.862522884674404,0.06660874731050337,1.525088868097241,1
1999,3,00342/99,1.312907692431422,-1.6408042327197032,1.5011863824439375,1
1999,3,30050/99,0.33717448137957573,-0.4637859879343431,1.9389691126286328,1
1999,3,01187/99,0.9176156011501269,-1.812406150320079,2.0010839069355977,1
1999,3,01982/99,1.2009640431083752,-0.44807077731812167,1.853175620461693,1
1999,3,30105/99,0.3723874930034546,-0.09370831357790099,1.8332026027519341,1
1999,3,02902/99,1.1382181473604538,-0.546992444580917,2.004861476407749,1
1999,3,30331/99,0.5742155351835729,-1.256077450106631,2.274898544975959,1
1999,3,03567/99,1.0425099184791158,-1.3778062941286215,2.1748231710611634,1
1999,3,03767/99,1.93128292412214,-1.6148031273261105,2.286796477360426,1
1999,3,03818/99,1.0596984161607874,-0.5886036577634632,1.9929994168798428,1
1999,3,072.1,0.47114949297525577,-1.2762135964552364,1.9469442304498754,1
1999,3,04557/99,0.9088841967518597,-0.3007030910374283,2.239951195324596,1
1999,3,109.1,1.1584604161325887,-1.7711089406407985,2.106741044577784,1
1999,3,05364/99,0.3574805413893495,0.33174391290081234,2.0804258536124607,1
1999,3,05951/99,0.9214193623285915,-0.9788174784685109,1.770811612230458,1
1999,3,06060/99,1.2327556275849314,-1.2253132297786868,1.889358215361448,1
2000,3,02029/00,1.5704210109385728,-1.4903633784500026,1.223586034836175,0
2000,3,02080/00,-0.00615900422059732,-1.8638512364019149,3.112710358823467,0
2000,3,02242/00,2.6010393899033746,-1.478633460360028,2.1388975956169847,0
2000,3,05443/00,0.24734738256514657,0.8889571963751459,3.2563163558130177,0
2000,3,05499/00,1.1097888967401566,-2.0019687463569222,2.004994999380612,0
2000,3,05815/00,2.091178841178829,-0.8917613518553281,1.2369359832988602,0
2000,3,06135/00,0.8578703739806691,0.5737654787652666,1.551303474655818,0
2001,3,00152/01,1.0553943739242715,-1.791245086989404,1.7787867300517004,0
2001,3,00929/01,2.3885855488343894,-0.8615854583288378,2.223372761184563,0
2001,3,00984/01,0.7798368283759821,-1.833567213650754,2.2233810838194947,0
2001,3,03291/01,-0.07248326795421248,0.8298776957492423,2.398015212815706,0
2001,3,04045/01,0.9455317663254492,-1.5473717946827923,2.0088724502152457,0
2001,3,04945/01,1.4662693275471803,-1.3104009580815483,1.7553145563212482,0
2001,3,05611/01,0.9376014186158964,0.29960736456862436,1.287341241785266,0
2001,3,06503/01,2.51502347419051,-0.1349594487151747,1.5912495100753354,0
2002,3,00059/02,2.395392892155011,-0.5509800478132555,1.350257603310596,0
2002,3,00104/02,2.269542514223922,-1.3263771703862854,2.2290093162009175,0
2002,3,00145/02,2.5920321773364026,-0.844354793356152,1.647676129818914,0
2002,3,00501/02,0.6828482430754508,0.3605662294076208,1.5560773561038646,0
2002,3,00536/02,0.6425766905531614,0.14404535473101607,1.415748594834041,0
2002,3,00767/02,1.3850281808985774,-2.4676337864336504,2.6476558574809563,0
2002,3,02173/02,-0.05237263129963371,-1.4172794273067029,2.864418957974549,0
